Summary Statistics for All Numeric Columns:

| Statistic                   |         instant |        season |            yr |          mnth |     holiday |      weekday |    workingday |    weathersit |          temp |         atemp |          hum |    windspeed |           casual |     registered |            cnt |
|-----------------------------|-----------------|---------------|---------------|---------------|-------------|--------------|---------------|---------------|---------------|---------------|--------------|--------------|------------------|----------------|----------------|
| Count                       |   731           | 731           | 731           | 731           | 731         | 731          | 731           | 731           | 731           | 731           | 731          | 731          |    731           |  731           |  731           |
| Unique                      |   731           |   4           |   2           |  12           |   2         |   7          |   2           |   3           | 499           | 690           | 595          | 650          |    606           |  679           |  696           |
| Mean                        |   366           |   2.49658     |   0.500684    |   6.51984     |   0.0287278 |   2.99726    |   0.683995    |   1.39535     |   0.495385    |   0.474354    |   0.627894   |   0.190486   |    848.176       | 3656.17        | 4504.35        |
| Std                         |   211.166       |   1.11081     |   0.500342    |   3.45191     |   0.167155  |   2.00479    |   0.465233    |   0.544894    |   0.183051    |   0.162961    |   0.142429   |   0.0774979  |    686.622       | 1560.26        | 1937.21        |
| Min                         |     1           |   1           |   0           |   1           |   0         |   0          |   0           |   1           |   0.0591304   |   0.0790696   |   0          |   0.0223917  |      2           |   20           |   22           |
| 25%                         |   183.5         |   2           |   0           |   4           |   0         |   1          |   0           |   1           |   0.337083    |   0.337842    |   0.52       |   0.13495    |    315.5         | 2497           | 3152           |
| 50%                         |   366           |   3           |   1           |   7           |   0         |   3          |   1           |   1           |   0.498333    |   0.486733    |   0.626667   |   0.180975   |    713           | 3662           | 4548           |
| 75%                         |   548.5         |   3           |   1           |  10           |   0         |   5          |   1           |   2           |   0.655417    |   0.608602    |   0.730209   |   0.233214   |   1096           | 4776.5         | 5956           |
| Max                         |   731           |   4           |   1           |  12           |   1         |   6          |   1           |   3           |   0.861667    |   0.840896    |   0.9725     |   0.507463   |   3410           | 6946           | 8714           |
| Mode                        |     1           |   3           |   1           |   1           |   0         |   0          |   1           |   1           |   0.265833    |   0.654688    |   0.613333   |   0.10635    |    120           | 1707           | 1096           |
| Range                       |   730           |   3           |   1           |  11           |   1         |   6          |   1           |   2           |   0.802537    |   0.761826    |   0.9725     |   0.485071   |   3408           | 6926           | 8692           |
| IQR                         |   365           |   1           |   1           |   6           |   0         |   4          |   1           |   1           |   0.318333    |   0.27076     |   0.210209   |   0.0982645  |    780.5         | 2279.5         | 2804           |
| Variance                    | 44591           |   1.23389     |   0.250342    |  11.9157      |   0.0279407 |   4.01917    |   0.216442    |   0.29691     |   0.0335077   |   0.0265563   |   0.020286   |   0.00600592 | 471450           |    2.4344e+06  |    3.75279e+06 |
| Skewness                    |     0           |  -0.000384278 |  -0.00274161  |  -0.00814865  |   5.65422   |   0.0027416  |  -0.793147    |   0.957385    |  -0.054521    |  -0.131088    |  -0.0697834  |   0.677345   |      1.26645     |    0.0436588   |   -0.0473528   |
| Kurtosis                    |    -1.2         |  -1.3426      |  -2.00549     |  -1.20911     |  30.0525    |  -1.25428    |  -1.37469     |  -0.136467    |  -1.11886     |  -0.985131    |  -0.0645301  |   0.410922   |      1.32207     |   -0.713097    |   -0.811922    |
| Shapiro-Wilk Test Statistic |     0.954774    |   0.85821     |   0.636576    |   0.941279    |   0.154387  |   0.917276   |   0.585353    |   0.659034    |   0.965912    |   0.973839    |   0.993346   |   0.971232   |      0.885014    |    0.984299    |    0.980123    |
| Shapiro-Wilk Test p-value   |     3.35489e-14 |   4.05939e-25 |   1.24605e-36 |   2.11735e-16 |   0         |   1.4919e-19 |   1.99693e-38 |   8.86934e-36 |   5.14619e-12 |   3.74348e-10 |   0.00248234 |   8.424e-11  |      7.26521e-23 |    4.61256e-07 |    2.07955e-08 |
