Outlier Detection Report
================================================================================
|    | Column     |      Q1 |       Q3 |     IQR |   Lower Bound |   Upper Bound |   Outliers Count | Outliers Percentage   |    Skewness |   Kurtosis |
|---:|:-----------|--------:|---------:|--------:|--------------:|--------------:|-----------------:|:----------------------|------------:|-----------:|
|  0 | instant    | 4345.5  | 13034.5  | 8689    |      -8688    |      26068    |                0 | 0.00%                 |  0          |  -1.2      |
|  1 | season     |    2    |     3    |    1    |          0.5  |          4.5  |                0 | 0.00%                 | -0.0054157  |  -1.33425  |
|  2 | yr         |    0    |     1    |    1    |         -1.5  |          2.5  |                0 | 0.00%                 | -0.0102433  |  -2.00013  |
|  3 | mnth       |    4    |    10    |    6    |         -5    |         19    |                0 | 0.00%                 | -0.00925325 |  -1.20188  |
|  4 | hr         |    6    |    18    |   12    |        -12    |         36    |                0 | 0.00%                 | -0.0106799  |  -1.19802  |
|  5 | holiday    |    0    |     0    |    0    |          0    |          0    |              500 | 2.88%                 |  5.63854    |  29.7965   |
|  6 | weekday    |    1    |     5    |    4    |         -5    |         11    |                0 | 0.00%                 | -0.00299822 |  -1.256    |
|  7 | workingday |    0    |     1    |    1    |         -1.5  |          2.5  |                0 | 0.00%                 | -0.785258   |  -1.38353  |
|  8 | weathersit |    1    |     2    |    1    |         -0.5  |          3.5  |                3 | 0.02%                 |  1.22805    |   0.350151 |
|  9 | temp       |    0.34 |     0.66 |    0.32 |         -0.14 |          1.14 |                0 | 0.00%                 | -0.00602088 |  -0.941844 |
| 10 | atemp      |    0.33 |     0.62 |    0.29 |         -0.1  |          1.05 |                0 | 0.00%                 | -0.0904289  |  -0.845412 |
| 11 | hum        |    0.48 |     0.78 |    0.3  |          0.03 |          1.23 |               22 | 0.13%                 | -0.111287   |  -0.826117 |
| 12 | windspeed  |    0.1  |     0.25 |    0.15 |         -0.12 |          0.48 |              342 | 1.97%                 |  0.574905   |   0.59082  |
| 13 | casual     |    4    |    48    |   44    |        -62    |        114    |             1192 | 6.86%                 |  2.49924    |   7.571    |
| 14 | registered |   34    |   220    |  186    |       -245    |        499    |              680 | 3.91%                 |  1.5579     |   2.75002  |
| 15 | cnt        |   40    |   281    |  241    |       -321.5  |        642.5  |              505 | 2.91%                 |  1.27741    |   1.4172   |

