Summary Statistics for All Numeric Columns:

| Statistic                   |         instant |        season |            yr |           mnth |            hr |       holiday |        weekday |   workingday |   weathersit |           temp |           atemp |             hum |     windspeed |       casual |   registered |          cnt |
|-----------------------------|-----------------|---------------|---------------|----------------|---------------|---------------|----------------|--------------|--------------|----------------|-----------------|-----------------|---------------|--------------|--------------|--------------|
| Count                       | 17379           | 17379         | 17379         | 17379          | 17379         | 17379         | 17379          | 17379        | 17379        | 17379          | 17379           | 17379           | 17379         | 17379        | 17379        | 17379        |
| Unique                      | 17379           |     4         |     2         |    12          |    24         |     2         |     7          |     2        |     4        |    50          |    65           |    89           |    30         |   322        |   776        |   869        |
| Mean                        |  8690           |     2.50164   |     0.502561  |     6.53778    |    11.5468    |     0.0287704 |     3.00368    |     0.682721 |     1.42528  |     0.496987   |     0.475775    |     0.627229    |     0.190098  |    35.6762   |   153.787    |   189.463    |
| Std                         |  5017.03        |     1.10692   |     0.500008  |     3.43878    |     6.91441   |     0.167165  |     2.00577    |     0.465431 |     0.639357 |     0.192556   |     0.17185     |     0.19293     |     0.12234   |    49.305    |   151.357    |   181.388    |
| Min                         |     1           |     1         |     0         |     1          |     0         |     0         |     0          |     0        |     1        |     0.02       |     0           |     0           |     0         |     0        |     0        |     1        |
| 25%                         |  4345.5         |     2         |     0         |     4          |     6         |     0         |     1          |     0        |     1        |     0.34       |     0.3333      |     0.48        |     0.1045    |     4        |    34        |    40        |
| 50%                         |  8690           |     3         |     1         |     7          |    12         |     0         |     3          |     1        |     1        |     0.5        |     0.4848      |     0.63        |     0.194     |    17        |   115        |   142        |
| 75%                         | 13034.5         |     3         |     1         |    10          |    18         |     0         |     5          |     1        |     2        |     0.66       |     0.6212      |     0.78        |     0.2537    |    48        |   220        |   281        |
| Max                         | 17379           |     4         |     1         |    12          |    23         |     1         |     6          |     1        |     4        |     1          |     1           |     1           |     0.8507    |   367        |   886        |   977        |
| Mode                        |     1           |     3         |     1         |     5          |    16         |     0         |     6          |     1        |     1        |     0.62       |     0.6212      |     0.88        |     0         |     0        |     4        |     5        |
| Range                       | 17378           |     3         |     1         |    11          |    23         |     1         |     6          |     1        |     3        |     0.98       |     1           |     1           |     0.8507    |   367        |   886        |   976        |
| IQR                         |  8689           |     1         |     1         |     6          |    12         |     0         |     4          |     1        |     1        |     0.32       |     0.2879      |     0.3         |     0.1492    |    44        |   186        |   241        |
| Variance                    |     2.51706e+07 |     1.22527   |     0.250008  |    11.8252     |    47.809     |     0.0279442 |     4.02312    |     0.216626 |     0.408777 |     0.0370779  |     0.0295325   |     0.0372219   |     0.0149671 |  2430.99     | 22909        | 32901.5      |
| Skewness                    |     0           |    -0.0054157 |    -0.0102433 |    -0.00925325 |    -0.0106799 |     5.63854   |    -0.00299822 |    -0.785258 |     1.22805  |    -0.00602088 |    -0.0904289   |    -0.111287    |     0.574905  |     2.49924  |     1.5579   |     1.27741  |
| Kurtosis                    |    -1.2         |    -1.33425   |    -2.00013   |    -1.20188    |    -1.19802   |    29.7965    |    -1.256      |    -1.38353  |     0.350151 |    -0.941844   |    -0.845412    |    -0.826117    |     0.59082   |     7.571    |     2.75002  |     1.4172   |
| Shapiro-Wilk Test Statistic |     0.954923    |     0.85913   |     0.636468  |     0.942201   |     0.951524  |     0.154544  |     0.917138   |     0.58633  |     0.660567 |     0.978507   |     0.981398    |     0.980015    |     0.958998  |     0.706707 |     0.851129 |     0.873466 |
| Shapiro-Wilk Test p-value   |     0           |     0         |     0         |     0          |     0         |     0         |     0          |     0        |     0        |     1.4013e-44 |     3.15713e-42 |     2.18603e-43 |     0         |     0        |     0        |     0        |
