### Consolidated Categorical Variable Analysis ###
========================================================================================================================


### Dteday Summary ###


| dteday     |   Count |   Percentage |
|:-----------|--------:|-------------:|
| 2011-01-01 |      24 |         0.14 |
| 2012-04-03 |      24 |         0.14 |
| 2012-04-28 |      24 |         0.14 |
| 2012-04-29 |      24 |         0.14 |
| 2012-04-30 |      24 |         0.14 |
| 2012-05-01 |      24 |         0.14 |
| 2012-05-02 |      24 |         0.14 |
| 2012-05-03 |      24 |         0.14 |
| 2012-05-04 |      24 |         0.14 |
| 2012-05-05 |      24 |         0.14 |
| 2012-05-06 |      24 |         0.14 |
| 2012-05-07 |      24 |         0.14 |
| 2012-05-08 |      24 |         0.14 |
| 2012-05-09 |      24 |         0.14 |
| 2012-05-10 |      24 |         0.14 |
| 2012-05-11 |      24 |         0.14 |
| 2012-05-12 |      24 |         0.14 |
| 2012-05-13 |      24 |         0.14 |
| 2012-05-14 |      24 |         0.14 |
| 2012-05-15 |      24 |         0.14 |
| 2012-05-16 |      24 |         0.14 |
| 2012-04-27 |      24 |         0.14 |
| 2012-04-26 |      24 |         0.14 |
| 2012-04-25 |      24 |         0.14 |
| 2012-04-14 |      24 |         0.14 |
| 2012-04-05 |      24 |         0.14 |
| 2012-04-06 |      24 |         0.14 |
| 2012-04-07 |      24 |         0.14 |
| 2012-04-08 |      24 |         0.14 |
| 2012-04-09 |      24 |         0.14 |
| 2012-04-10 |      24 |         0.14 |
| 2012-04-12 |      24 |         0.14 |
| 2012-04-13 |      24 |         0.14 |
| 2012-04-15 |      24 |         0.14 |
| 2012-04-24 |      24 |         0.14 |
| 2012-04-16 |      24 |         0.14 |
| 2012-04-17 |      24 |         0.14 |
| 2012-04-18 |      24 |         0.14 |
| 2012-04-19 |      24 |         0.14 |
| 2012-04-20 |      24 |         0.14 |
| 2012-04-21 |      24 |         0.14 |
| 2012-04-22 |      24 |         0.14 |
| 2012-04-23 |      24 |         0.14 |
| 2012-05-17 |      24 |         0.14 |
| 2012-05-18 |      24 |         0.14 |
| 2012-05-19 |      24 |         0.14 |
| 2012-06-20 |      24 |         0.14 |
| 2012-06-12 |      24 |         0.14 |
| 2012-06-13 |      24 |         0.14 |
| 2012-06-14 |      24 |         0.14 |
| 2012-06-15 |      24 |         0.14 |
| 2012-06-16 |      24 |         0.14 |
| 2012-06-17 |      24 |         0.14 |
| 2012-06-18 |      24 |         0.14 |
| 2012-06-19 |      24 |         0.14 |
| 2012-06-21 |      24 |         0.14 |
| 2012-06-10 |      24 |         0.14 |
| 2012-06-22 |      24 |         0.14 |
| 2012-06-23 |      24 |         0.14 |
| 2012-06-24 |      24 |         0.14 |
| 2012-06-25 |      24 |         0.14 |
| 2012-06-26 |      24 |         0.14 |
| 2012-06-27 |      24 |         0.14 |
| 2012-06-28 |      24 |         0.14 |
| 2012-06-29 |      24 |         0.14 |
| 2012-06-11 |      24 |         0.14 |
| 2012-06-09 |      24 |         0.14 |
