Numerical Variable Analysis Report
========================================================================================================================


### Analysis for 'instant'  ###
| Statistic          |         Overall |
|--------------------|-----------------|
| Count              | 17379           |
| Mean               |  8690           |
| Trimmed Mean (IQR) |  8690           |
| MAD                |  4344.75        |
| Std                |  5017.03        |
| Min                |     1           |
| 25%                |  4345.5         |
| 50%                |  8690           |
| 75%                | 13034.5         |
| Max                | 17379           |
| Mode               |     1           |
| Range              | 17378           |
| IQR                |  8689           |
| Variance           |     2.51706e+07 |
| Skewness           |     0           |
| Kurtosis           |    -1.2         |


### Analysis for 'season'  ###
| Statistic          |       Overall |
|--------------------|---------------|
| Count              | 17379         |
| Mean               |     2.50164   |
| Trimmed Mean (IQR) |     2.50164   |
| MAD                |     0.987593  |
| Std                |     1.10692   |
| Min                |     1         |
| 25%                |     2         |
| 50%                |     3         |
| 75%                |     3         |
| Max                |     4         |
| Mode               |     3         |
| Range              |     3         |
| IQR                |     1         |
| Variance           |     1.22527   |
| Skewness           |    -0.0054157 |
| Kurtosis           |    -1.33425   |


### Analysis for 'yr'  ###
| Statistic          |       Overall |
|--------------------|---------------|
| Count              | 17379         |
| Mean               |     0.502561  |
| Trimmed Mean (IQR) |     0.502561  |
| MAD                |     0.499987  |
| Std                |     0.500008  |
| Min                |     0         |
| 25%                |     0         |
| 50%                |     1         |
| 75%                |     1         |
| Max                |     1         |
| Mode               |     1         |
| Range              |     1         |
| IQR                |     1         |
| Variance           |     0.250008  |
| Skewness           |    -0.0102433 |
| Kurtosis           |    -2.00013   |


### Analysis for 'mnth'  ###
| Statistic          |        Overall |
|--------------------|----------------|
| Count              | 17379          |
| Mean               |     6.53778    |
| Trimmed Mean (IQR) |     6.53778    |
| MAD                |     2.98282    |
| Std                |     3.43878    |
| Min                |     1          |
| 25%                |     4          |
| 50%                |     7          |
| 75%                |    10          |
| Max                |    12          |
| Mode               |     5          |
| Range              |    11          |
| IQR                |     6          |
| Variance           |    11.8252     |
| Skewness           |    -0.00925325 |
| Kurtosis           |    -1.20188    |


### Analysis for 'hr'  ###
| Statistic          |       Overall |
|--------------------|---------------|
| Count              | 17379         |
| Mean               |    11.5468    |
| Trimmed Mean (IQR) |    11.5468    |
| MAD                |     5.98823   |
| Std                |     6.91441   |
| Min                |     0         |
| 25%                |     6         |
| 50%                |    12         |
| 75%                |    18         |
| Max                |    23         |
| Mode               |    16         |
| Range              |    23         |
| IQR                |    12         |
| Variance           |    47.809     |
| Skewness           |    -0.0106799 |
| Kurtosis           |    -1.19802   |


### Analysis for 'holiday'  ###
| Statistic          |       Overall |
|--------------------|---------------|
| Count              | 17379         |
| Mean               |     0.0287704 |
| Trimmed Mean (IQR) |     0         |
| MAD                |     0.0558852 |
| Std                |     0.167165  |
| Min                |     0         |
| 25%                |     0         |
| 50%                |     0         |
| 75%                |     0         |
| Max                |     1         |
| Mode               |     0         |
| Range              |     1         |
| IQR                |     0         |
| Variance           |     0.0279442 |
| Skewness           |     5.63854   |
| Kurtosis           |    29.7965    |


### Analysis for 'weekday'  ###
| Statistic          |        Overall |
|--------------------|----------------|
| Count              | 17379          |
| Mean               |     3.00368    |
| Trimmed Mean (IQR) |     3.00368    |
| MAD                |     1.72087    |
| Std                |     2.00577    |
| Min                |     0          |
| 25%                |     1          |
| 50%                |     3          |
| 75%                |     5          |
| Max                |     6          |
| Mode               |     6          |
| Range              |     6          |
| IQR                |     4          |
| Variance           |     4.02312    |
| Skewness           |    -0.00299822 |
| Kurtosis           |    -1.256      |


### Analysis for 'workingday'  ###
| Statistic          |      Overall |
|--------------------|--------------|
| Count              | 17379        |
| Mean               |     0.682721 |
| Trimmed Mean (IQR) |     0.682721 |
| MAD                |     0.433226 |
| Std                |     0.465431 |
| Min                |     0        |
| 25%                |     0        |
| 50%                |     1        |
| 75%                |     1        |
| Max                |     1        |
| Mode               |     1        |
| Range              |     1        |
| IQR                |     1        |
| Variance           |     0.216626 |
| Skewness           |    -0.785258 |
| Kurtosis           |    -1.38353  |


### Analysis for 'weathersit'  ###
| Statistic          |      Overall |
|--------------------|--------------|
| Count              | 17379        |
| Mean               |     1.42528  |
| Trimmed Mean (IQR) |     1.42484  |
| MAD                |     0.558578 |
| Std                |     0.639357 |
| Min                |     1        |
| 25%                |     1        |
| 50%                |     1        |
| 75%                |     2        |
| Max                |     4        |
| Mode               |     1        |
| Range              |     3        |
| IQR                |     1        |
| Variance           |     0.408777 |
| Skewness           |     1.22805  |
| Kurtosis           |     0.350151 |


### Analysis for 'temp'  ###
| Statistic          |        Overall |
|--------------------|----------------|
| Count              | 17379          |
| Mean               |     0.496987   |
| Trimmed Mean (IQR) |     0.496987   |
| MAD                |     0.165175   |
| Std                |     0.192556   |
| Min                |     0.02       |
| 25%                |     0.34       |
| 50%                |     0.5        |
| 75%                |     0.66       |
| Max                |     1          |
